name,position,team,game,salary,value,ceilingValue,consensus,p90,fpProjPts,espnScoreProjection,espnLowScore,espnHighScore,espnOutsideProjection,espnSimulationProjection,uncertainty,projTeamPts,projOppPts,tdOdds,tdProbability,espnId,injury
drake maye,QB,NE,NE@TB,8200,2.65,3.516,18.88,28.83,21.7,16.6,9.71,23.48,17.66,17.94,0.33,25.00,23.50,0,0,4431452,: 
jaxson dart,QB,NYG,NYG@CHI,7700,2.64,3.821,18.54,29.42,20.3,15.27,8.66,21.52,19.95,15.46,0.36,21.00,24.50,0,0,4689114,: 
josh allen,QB,BUF,BUF@MIA,9200,2.62,3.395,20.98,31.23,24.1,18.95,13.63,23.95,19.14,20.45,0.311,25.50,27.00,0,0,3918298,: 
marcus mariota,QB,WAS,DET@WAS,6300,2.6,3.722,15.2,23.45,16.4,15.28,8.66,21.52,13.84,15.46,0.338,20.50,29.00,+2000,4.76,2576980,: 
justin herbert,QB,LAC,PIT@LAC,8400,2.49,3.226,17.26,27.1,20.9,13.25,8.28,18.23,17.11,14.29,0.352,24.25,21.25,+2500,3.85,4038941,: 
lamar jackson,QB,BAL,BAL@MIN,9000,2.48,3.929,22.3,35.36,22.3,,,,,,0.36,23.00,25.50,0,0,4034849,: 
baker mayfield,QB,TB,NE@TB,7900,2.48,3.143,16.29,24.83,19.6,15.59,8.7,21.65,13.7,15.54,0.329,23.50,25.00,0,0,3052587,: 
caleb williams,QB,CHI,NYG@CHI,7400,2.43,3.503,16.94,25.92,18,16.42,9.48,23.38,15.72,17.76,0.332,24.50,21.00,0,0,4431611,: 
matthew stafford,QB,LAR,LAR@SF,8000,2.4,3.232,16.38,25.86,19.2,12.84,7.75,17.94,16.61,13.84,0.356,27.50,22.00,+10000,0.99,12483,: 
jalen hurts,QB,PHI,PHI@GB,8900,2.31,3.157,18.71,28.1,20.6,16.99,10.03,22.65,18.23,17.63,0.317,22.00,23.50,+600,14.29,4040715,: 
sam darnold,QB,SEA,ARI@SEA,7500,2.27,3.087,14.95,23.15,17,13.62,7.43,18.24,14.12,13.83,0.341,25.75,18.75,+4000,2.44,3912547,: 
jordan love,QB,GB,PHI@GB,7300,2.27,3.301,14.27,24.1,16.6,11.53,5.15,17.97,14.43,12.02,0.409,23.50,22.00,+4000,2.44,4036378,: 
justin fields,QB,NYJ,CLE@NYJ,6800,2.26,3.675,15.07,24.99,15.4,15.65,8.7,21.67,14.21,15.56,0.395,27.50,23.00,0,0,4362887,: 
jj mccarthy,QB,MIN,BAL@MIN,7100,2.25,3.17,14.57,22.51,16,12.24,7.28,17.22,14.99,13.19,0.339,25.50,23.00,0,0,4433970,: 
mac jones,QB,SF,LAR@SF,7000,2.24,2.904,13.69,20.33,15.7,12.62,7.55,17.71,12.26,13.6,0.309,22.00,27.50,+5000,1.96,4241464,: 
