Score,Total Projected Pts,Total Cost,Proj Pts Weight,QB,SP1,SP2,SP3,SP4,SP5,SP6,SP7,D
9.37779,120.8,60000,0.67,trevor lawrence,rico dowdle,jacory croskeymerritt,javonte williams,puka nacua,keenan allen,jaylen waddle,trey mcbride,browns
9.3774,121.0,59900,0.67,trevor lawrence,rico dowdle,jacory croskeymerritt,javonte williams,puka nacua,keenan allen,tetairoa mcmillan,trey mcbride,browns
9.37696,120.6,59900,0.67,trevor lawrence,rico dowdle,josh jacobs,jacory croskeymerritt,puka nacua,keenan allen,ladd mcconkey,sam laporta,browns
9.37561,120.3,59700,0.67,trevor lawrence,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,puka nacua,keenan allen,travis kelce,browns
9.37516,122.0,60000,0.67,trevor lawrence,rico dowdle,christian mccaffrey,jacory croskeymerritt,stefon diggs,drake london,keenan allen,trey mcbride,packers
9.37501,119.7,60000,0.67,trevor lawrence,rico dowdle,jacory croskeymerritt,javonte williams,puka nacua,keenan allen,emeka egbuka,zach ertz,browns
9.3736,120.8,59900,0.67,trevor lawrence,rico dowdle,josh jacobs,jacory croskeymerritt,drake london,keenan allen,emeka egbuka,trey mcbride,browns
9.37107,121.0,60000,0.67,daniel jones,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,drake london,puka nacua,michael mayer,browns
9.36984,119.8,60000,0.67,jayden daniels,rico dowdle,josh jacobs,jacory croskeymerritt,keenan allen,emeka egbuka,michael pittman,sam laporta,raiders
9.36593,120.9,60000,0.67,justin herbert,rico dowdle,rachaad white,jacory croskeymerritt,stefon diggs,puka nacua,keenan allen,trey mcbride,browns
9.36322,120.3,60000,0.67,dak prescott,rico dowdle,rachaad white,jacory croskeymerritt,puka nacua,keenan allen,ladd mcconkey,trey mcbride,browns
9.35861,120.2,59900,0.67,patrick mahomes,rico dowdle,bijan robinson,kyren williams,stefon diggs,keenan allen,michael pittman,travis kelce,browns
9.35681,120.5,59900,0.67,daniel jones,rico dowdle,jacory croskeymerritt,javonte williams,stefon diggs,puka nacua,george pickens,zach ertz,browns
9.3557,120.2,60000,0.67,dak prescott,rico dowdle,jacory croskeymerritt,javonte williams,stefon diggs,puka nacua,keenan allen,hunter henry,browns
9.3554,121.6,59800,0.67,daniel jones,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,drake london,george pickens,trey mcbride,browns
9.35227,121.0,60000,0.67,dak prescott,rico dowdle,josh jacobs,javonte williams,stefon diggs,george pickens,keenan allen,sam laporta,browns
9.3521,121.2,60000,0.67,daniel jones,rico dowdle,rachaad white,javonte williams,stefon diggs,puka nacua,keenan allen,sam laporta,browns
9.35118,120.5,59800,0.67,dak prescott,rico dowdle,jacory croskeymerritt,javonte williams,stefon diggs,puka nacua,keenan allen,sam laporta,browns
9.35002,120.5,60000,0.67,dak prescott,rico dowdle,jacory croskeymerritt,javonte williams,stefon diggs,george pickens,emeka egbuka,trey mcbride,browns
9.3493,120.9,60000,0.67,dak prescott,rico dowdle,jacory croskeymerritt,javonte williams,stefon diggs,puka nacua,keenan allen,trey mcbride,dolphins
9.3481,121.2,60000,0.67,daniel jones,rico dowdle,josh jacobs,javonte williams,stefon diggs,drake london,george pickens,zach ertz,browns
9.34779,121.0,60000,0.67,dak prescott,rico dowdle,rachaad white,jacory croskeymerritt,stefon diggs,puka nacua,george pickens,sam laporta,browns
9.3477,119.4,60000,0.67,dak prescott,rico dowdle,jacory croskeymerritt,javonte williams,puka nacua,george pickens,keenan allen,michael mayer,browns
